,function_name,id,number,first,next,type
0,locktypeName,0,3074457345618258674,METHOD,const char* locktypeName (int locktype),0
0,locktypeName,1,3074457345618258675,PARAM,int locktype,0
0,locktypeName,2,3074457345618258676,BLOCK,<empty>,0
0,locktypeName,3,3074457345618258677,CONTROL_STRUCTURE,switch(locktype),0
0,locktypeName,4,3074457345618258678,IDENTIFIER,locktype,0
0,locktypeName,5,3074457345618258679,BLOCK,<empty>,0
0,locktypeName,6,3074457345618258680,JUMP_TARGET,case NO_LOCK:,0
0,locktypeName,7,3074457345618258681,IDENTIFIER,NO_LOCK,0
0,locktypeName,8,3074457345618258682,RETURN,"return ""NONE"";",0
0,locktypeName,9,3074457345618258683,LITERAL,"""NONE""",0
0,locktypeName,10,3074457345618258684,JUMP_TARGET,case SHARED_LOCK:,0
0,locktypeName,11,3074457345618258685,IDENTIFIER,SHARED_LOCK,0
0,locktypeName,12,3074457345618258686,RETURN,"return ""SHARED"";",0
0,locktypeName,13,3074457345618258687,LITERAL,"""SHARED""",0
0,locktypeName,14,3074457345618258688,JUMP_TARGET,case RESERVED_LOCK:,0
0,locktypeName,15,3074457345618258689,IDENTIFIER,RESERVED_LOCK,0
0,locktypeName,16,3074457345618258690,RETURN,"return ""RESERVED"";",0
0,locktypeName,17,3074457345618258691,LITERAL,"""RESERVED""",0
0,locktypeName,18,3074457345618258692,JUMP_TARGET,case PENDING_LOCK:,0
0,locktypeName,19,3074457345618258693,IDENTIFIER,PENDING_LOCK,0
0,locktypeName,20,3074457345618258694,RETURN,"return ""PENDING"";",0
0,locktypeName,21,3074457345618258695,LITERAL,"""PENDING""",0
0,locktypeName,22,3074457345618258696,JUMP_TARGET,case EXCLUSIVE_LOCK:,0
0,locktypeName,23,3074457345618258697,IDENTIFIER,EXCLUSIVE_LOCK,0
0,locktypeName,24,3074457345618258698,RETURN,"return ""EXCLUSIVE"";",0
0,locktypeName,25,3074457345618258699,LITERAL,"""EXCLUSIVE""",0
0,locktypeName,26,3074457345618258700,RETURN,"return ""ERROR"";",0
0,locktypeName,27,3074457345618258701,LITERAL,"""ERROR""",0
0,locktypeName,28,3074457345618258702,METHOD_RETURN,const char*,0
