,function_name,id,number,first,next,type
0,sqlite3ExprAnd,0,3074457345618258674,METHOD,"Expr sqlite3ExprAnd (Expr *pLeft,Expr *pRight)",0
0,sqlite3ExprAnd,1,3074457345618258675,PARAM,Expr *pLeft,0
0,sqlite3ExprAnd,2,3074457345618258676,PARAM,Expr *pRight,0
0,sqlite3ExprAnd,3,3074457345618258677,BLOCK,<empty>,0
0,sqlite3ExprAnd,4,3074457345618258678,CONTROL_STRUCTURE,if (pLeft==0),0
0,sqlite3ExprAnd,5,3074457345618258679,equals,pLeft==0,1
0,sqlite3ExprAnd,6,3074457345618258680,IDENTIFIER,pLeft,0
0,sqlite3ExprAnd,7,3074457345618258681,LITERAL,0,0
0,sqlite3ExprAnd,8,3074457345618258682,BLOCK,<empty>,0
0,sqlite3ExprAnd,9,3074457345618258683,RETURN,return pRight;,0
0,sqlite3ExprAnd,10,3074457345618258684,IDENTIFIER,pRight,0
0,sqlite3ExprAnd,11,3074457345618258685,CONTROL_STRUCTURE,else,0
0,sqlite3ExprAnd,12,3074457345618258686,CONTROL_STRUCTURE,if (pRight==0),0
0,sqlite3ExprAnd,13,3074457345618258687,equals,pRight==0,1
0,sqlite3ExprAnd,14,3074457345618258688,IDENTIFIER,pRight,0
0,sqlite3ExprAnd,15,3074457345618258689,LITERAL,0,0
0,sqlite3ExprAnd,16,3074457345618258690,BLOCK,<empty>,0
0,sqlite3ExprAnd,17,3074457345618258691,RETURN,return pLeft;,0
0,sqlite3ExprAnd,18,3074457345618258692,IDENTIFIER,pLeft,0
0,sqlite3ExprAnd,19,3074457345618258693,CONTROL_STRUCTURE,else,0
0,sqlite3ExprAnd,20,3074457345618258694,BLOCK,<empty>,0
0,sqlite3ExprAnd,21,3074457345618258695,RETURN,"return sqlite3Expr(TK_AND, pLeft, pRight, 0);",0
0,sqlite3ExprAnd,22,3074457345618258696,sqlite3Expr,"sqlite3Expr(TK_AND, pLeft, pRight, 0)",0
0,sqlite3ExprAnd,23,3074457345618258697,IDENTIFIER,TK_AND,0
0,sqlite3ExprAnd,24,3074457345618258698,IDENTIFIER,pLeft,0
0,sqlite3ExprAnd,25,3074457345618258699,IDENTIFIER,pRight,0
0,sqlite3ExprAnd,26,3074457345618258700,LITERAL,0,0
0,sqlite3ExprAnd,27,3074457345618258701,METHOD_RETURN,Expr,0
