,function_name,id,number,first,next,type
0,exprNodeIsConstant,0,3074457345618258674,METHOD,"int exprNodeIsConstant (void *pArg,Expr *pExpr)",0
0,exprNodeIsConstant,1,3074457345618258675,PARAM,void *pArg,0
0,exprNodeIsConstant,2,3074457345618258676,PARAM,Expr *pExpr,0
0,exprNodeIsConstant,3,3074457345618258677,BLOCK,<empty>,0
0,exprNodeIsConstant,4,3074457345618258678,CONTROL_STRUCTURE,switch(pExpr->op),0
0,exprNodeIsConstant,5,3074457345618258679,indirectFieldAccess,pExpr->op,1
0,exprNodeIsConstant,6,3074457345618258680,IDENTIFIER,pExpr,0
0,exprNodeIsConstant,7,3074457345618258681,FIELD_IDENTIFIER,op,0
0,exprNodeIsConstant,8,3074457345618258682,BLOCK,<empty>,0
0,exprNodeIsConstant,9,3074457345618258683,JUMP_TARGET,case TK_FUNCTION:,0
0,exprNodeIsConstant,10,3074457345618258684,IDENTIFIER,TK_FUNCTION,0
0,exprNodeIsConstant,11,3074457345618258685,CONTROL_STRUCTURE,if (*((int*)pArg)==2),0
0,exprNodeIsConstant,12,3074457345618258686,equals,*((int*)pArg)==2,1
0,exprNodeIsConstant,13,3074457345618258687,indirection,*((int*)pArg),1
0,exprNodeIsConstant,14,3074457345618258688,cast,(int*)pArg,1
0,exprNodeIsConstant,15,3074457345618258689,UNKNOWN,int*,0
0,exprNodeIsConstant,16,3074457345618258690,IDENTIFIER,pArg,0
0,exprNodeIsConstant,17,3074457345618258691,LITERAL,2,0
0,exprNodeIsConstant,18,3074457345618258692,RETURN,return 0;,0
0,exprNodeIsConstant,19,3074457345618258693,LITERAL,0,0
0,exprNodeIsConstant,20,3074457345618258694,JUMP_TARGET,case TK_ID:,0
0,exprNodeIsConstant,21,3074457345618258695,IDENTIFIER,TK_ID,0
0,exprNodeIsConstant,22,3074457345618258696,JUMP_TARGET,case TK_COLUMN:,0
0,exprNodeIsConstant,23,3074457345618258697,IDENTIFIER,TK_COLUMN,0
0,exprNodeIsConstant,24,3074457345618258698,JUMP_TARGET,case TK_DOT:,0
0,exprNodeIsConstant,25,3074457345618258699,IDENTIFIER,TK_DOT,0
0,exprNodeIsConstant,26,3074457345618258700,JUMP_TARGET,case TK_AGG_FUNCTION:,0
0,exprNodeIsConstant,27,3074457345618258701,IDENTIFIER,TK_AGG_FUNCTION,0
0,exprNodeIsConstant,28,3074457345618258702,JUMP_TARGET,case TK_AGG_COLUMN:,0
0,exprNodeIsConstant,29,3074457345618258703,IDENTIFIER,TK_AGG_COLUMN,0
0,exprNodeIsConstant,30,3074457345618258704,JUMP_TARGET,case TK_SELECT:,0
0,exprNodeIsConstant,31,3074457345618258705,IDENTIFIER,TK_SELECT,0
0,exprNodeIsConstant,32,3074457345618258706,JUMP_TARGET,case TK_EXISTS:,0
0,exprNodeIsConstant,33,3074457345618258707,IDENTIFIER,TK_EXISTS,0
0,exprNodeIsConstant,34,3074457345618258708,assignment,*((int*)pArg) = 0,1
0,exprNodeIsConstant,35,3074457345618258709,indirection,*((int*)pArg),1
0,exprNodeIsConstant,36,3074457345618258710,cast,(int*)pArg,1
0,exprNodeIsConstant,37,3074457345618258711,UNKNOWN,int*,0
0,exprNodeIsConstant,38,3074457345618258712,IDENTIFIER,pArg,0
0,exprNodeIsConstant,39,3074457345618258713,LITERAL,0,0
0,exprNodeIsConstant,40,3074457345618258714,RETURN,return 2;,0
0,exprNodeIsConstant,41,3074457345618258715,LITERAL,2,0
0,exprNodeIsConstant,42,3074457345618258716,JUMP_TARGET,case TK_IN:,0
0,exprNodeIsConstant,43,3074457345618258717,IDENTIFIER,TK_IN,0
0,exprNodeIsConstant,44,3074457345618258718,CONTROL_STRUCTURE,if (pExpr->pSelect),0
0,exprNodeIsConstant,45,3074457345618258719,indirectFieldAccess,pExpr->pSelect,1
0,exprNodeIsConstant,46,3074457345618258720,IDENTIFIER,pExpr,0
0,exprNodeIsConstant,47,3074457345618258721,FIELD_IDENTIFIER,pSelect,0
0,exprNodeIsConstant,48,3074457345618258722,BLOCK,<empty>,0
0,exprNodeIsConstant,49,3074457345618258723,assignment,*((int*)pArg) = 0,1
0,exprNodeIsConstant,50,3074457345618258724,indirection,*((int*)pArg),1
0,exprNodeIsConstant,51,3074457345618258725,cast,(int*)pArg,1
0,exprNodeIsConstant,52,3074457345618258726,UNKNOWN,int*,0
0,exprNodeIsConstant,53,3074457345618258727,IDENTIFIER,pArg,0
0,exprNodeIsConstant,54,3074457345618258728,LITERAL,0,0
0,exprNodeIsConstant,55,3074457345618258729,RETURN,return 2;,0
0,exprNodeIsConstant,56,3074457345618258730,LITERAL,2,0
0,exprNodeIsConstant,57,3074457345618258731,JUMP_TARGET,default:,0
0,exprNodeIsConstant,58,3074457345618258732,RETURN,return 0;,0
0,exprNodeIsConstant,59,3074457345618258733,LITERAL,0,0
0,exprNodeIsConstant,60,3074457345618258734,METHOD_RETURN,int,0
