,function_name,id,number,first,next,type
0,seaf_repo_manager_get_repo,0,3074457345618258674,METHOD,"ANY seaf_repo_manager_get_repo (SeafRepoManager *manager,const gchar *id)",0
0,seaf_repo_manager_get_repo,1,3074457345618258675,PARAM,SeafRepoManager *manager,0
0,seaf_repo_manager_get_repo,2,3074457345618258676,PARAM,const gchar *id,0
0,seaf_repo_manager_get_repo,3,3074457345618258677,BLOCK,<empty>,0
0,seaf_repo_manager_get_repo,4,3074457345618258678,LOCAL,SeafRepo res,0
0,seaf_repo_manager_get_repo,5,3074457345618258679,CONTROL_STRUCTURE,if (pthread_rwlock_rdlock (&manager->priv->lock) < 0),0
0,seaf_repo_manager_get_repo,6,3074457345618258680,lessThan,pthread_rwlock_rdlock (&manager->priv->lock) < 0,1
0,seaf_repo_manager_get_repo,7,3074457345618258681,pthread_rwlock_rdlock,pthread_rwlock_rdlock (&manager->priv->lock),0
0,seaf_repo_manager_get_repo,8,3074457345618258682,addressOf,&manager->priv->lock,1
0,seaf_repo_manager_get_repo,9,3074457345618258683,indirectFieldAccess,manager->priv->lock,1
0,seaf_repo_manager_get_repo,10,3074457345618258684,indirectFieldAccess,manager->priv,1
0,seaf_repo_manager_get_repo,11,3074457345618258685,IDENTIFIER,manager,0
0,seaf_repo_manager_get_repo,12,3074457345618258686,FIELD_IDENTIFIER,priv,0
0,seaf_repo_manager_get_repo,13,3074457345618258687,FIELD_IDENTIFIER,lock,0
0,seaf_repo_manager_get_repo,14,3074457345618258688,LITERAL,0,0
0,seaf_repo_manager_get_repo,15,3074457345618258689,BLOCK,<empty>,0
0,seaf_repo_manager_get_repo,16,3074457345618258690,seaf_warning,"seaf_warning (""[repo mgr] failed to lock repo cache.\n"")",0
0,seaf_repo_manager_get_repo,17,3074457345618258691,LITERAL,"""[repo mgr] failed to lock repo cache.\n""",0
0,seaf_repo_manager_get_repo,18,3074457345618258692,RETURN,return NULL;,0
0,seaf_repo_manager_get_repo,19,3074457345618258693,IDENTIFIER,NULL,0
0,seaf_repo_manager_get_repo,20,3074457345618258694,assignment,"res = g_hash_table_lookup (manager->priv->repo_hash, id)",1
0,seaf_repo_manager_get_repo,21,3074457345618258695,IDENTIFIER,res,0
0,seaf_repo_manager_get_repo,22,3074457345618258696,g_hash_table_lookup,"g_hash_table_lookup (manager->priv->repo_hash, id)",0
0,seaf_repo_manager_get_repo,23,3074457345618258697,indirectFieldAccess,manager->priv->repo_hash,1
0,seaf_repo_manager_get_repo,24,3074457345618258698,indirectFieldAccess,manager->priv,1
0,seaf_repo_manager_get_repo,25,3074457345618258699,IDENTIFIER,manager,0
0,seaf_repo_manager_get_repo,26,3074457345618258700,FIELD_IDENTIFIER,priv,0
0,seaf_repo_manager_get_repo,27,3074457345618258701,FIELD_IDENTIFIER,repo_hash,0
0,seaf_repo_manager_get_repo,28,3074457345618258702,IDENTIFIER,id,0
0,seaf_repo_manager_get_repo,29,3074457345618258703,pthread_rwlock_unlock,pthread_rwlock_unlock (&manager->priv->lock),0
0,seaf_repo_manager_get_repo,30,3074457345618258704,addressOf,&manager->priv->lock,1
0,seaf_repo_manager_get_repo,31,3074457345618258705,indirectFieldAccess,manager->priv->lock,1
0,seaf_repo_manager_get_repo,32,3074457345618258706,indirectFieldAccess,manager->priv,1
0,seaf_repo_manager_get_repo,33,3074457345618258707,IDENTIFIER,manager,0
0,seaf_repo_manager_get_repo,34,3074457345618258708,FIELD_IDENTIFIER,priv,0
0,seaf_repo_manager_get_repo,35,3074457345618258709,FIELD_IDENTIFIER,lock,0
0,seaf_repo_manager_get_repo,36,3074457345618258710,CONTROL_STRUCTURE,if (res && !res->delete_pending),0
0,seaf_repo_manager_get_repo,37,3074457345618258711,logicalAnd,res && !res->delete_pending,1
0,seaf_repo_manager_get_repo,38,3074457345618258712,IDENTIFIER,res,0
0,seaf_repo_manager_get_repo,39,3074457345618258713,logicalNot,!res->delete_pending,1
0,seaf_repo_manager_get_repo,40,3074457345618258714,indirectFieldAccess,res->delete_pending,1
0,seaf_repo_manager_get_repo,41,3074457345618258715,IDENTIFIER,res,0
0,seaf_repo_manager_get_repo,42,3074457345618258716,FIELD_IDENTIFIER,delete_pending,0
0,seaf_repo_manager_get_repo,43,3074457345618258717,RETURN,return res;,0
0,seaf_repo_manager_get_repo,44,3074457345618258718,IDENTIFIER,res,0
0,seaf_repo_manager_get_repo,45,3074457345618258719,RETURN,return NULL;,0
0,seaf_repo_manager_get_repo,46,3074457345618258720,IDENTIFIER,NULL,0
0,seaf_repo_manager_get_repo,47,3074457345618258721,METHOD_RETURN,ANY,0
