,function_name,id,number,first,next,type
0,find_process_in_dirent,0,3074457345618258674,METHOD,"ANY find_process_in_dirent (struct dirent *dir,const char *process_name)",0
0,find_process_in_dirent,1,3074457345618258675,PARAM,struct dirent *dir,0
0,find_process_in_dirent,2,3074457345618258676,PARAM,const char *process_name,0
0,find_process_in_dirent,3,3074457345618258677,BLOCK,<empty>,0
0,find_process_in_dirent,4,3074457345618258678,LOCAL,char[512] path,0
0,find_process_in_dirent,5,3074457345618258679,CONTROL_STRUCTURE,"if (sprintf (path, ""/proc/%s/exe"", dir->d_name) < 0)",0
0,find_process_in_dirent,6,3074457345618258680,lessThan,"sprintf (path, ""/proc/%s/exe"", dir->d_name) < 0",1
0,find_process_in_dirent,7,3074457345618258681,sprintf,"sprintf (path, ""/proc/%s/exe"", dir->d_name)",0
0,find_process_in_dirent,8,3074457345618258682,IDENTIFIER,path,0
0,find_process_in_dirent,9,3074457345618258683,LITERAL,"""/proc/%s/exe""",0
0,find_process_in_dirent,10,3074457345618258684,indirectFieldAccess,dir->d_name,1
0,find_process_in_dirent,11,3074457345618258685,IDENTIFIER,dir,0
0,find_process_in_dirent,12,3074457345618258686,FIELD_IDENTIFIER,d_name,0
0,find_process_in_dirent,13,3074457345618258687,LITERAL,0,0
0,find_process_in_dirent,14,3074457345618258688,BLOCK,<empty>,0
0,find_process_in_dirent,15,3074457345618258689,RETURN,return -1;,0
0,find_process_in_dirent,16,3074457345618258690,minus,-1,1
0,find_process_in_dirent,17,3074457345618258691,LITERAL,1,0
0,find_process_in_dirent,18,3074457345618258692,LOCAL,char[] buf,0
0,find_process_in_dirent,19,3074457345618258693,LOCAL,ssize_t l,0
0,find_process_in_dirent,20,3074457345618258694,assignment,"l = readlink(path, buf, SEAF_PATH_MAX)",1
0,find_process_in_dirent,21,3074457345618258695,IDENTIFIER,l,0
0,find_process_in_dirent,22,3074457345618258696,readlink,"readlink(path, buf, SEAF_PATH_MAX)",0
0,find_process_in_dirent,23,3074457345618258697,IDENTIFIER,path,0
0,find_process_in_dirent,24,3074457345618258698,IDENTIFIER,buf,0
0,find_process_in_dirent,25,3074457345618258699,IDENTIFIER,SEAF_PATH_MAX,0
0,find_process_in_dirent,26,3074457345618258700,CONTROL_STRUCTURE,if (l < 0),0
0,find_process_in_dirent,27,3074457345618258701,lessThan,l < 0,1
0,find_process_in_dirent,28,3074457345618258702,IDENTIFIER,l,0
0,find_process_in_dirent,29,3074457345618258703,LITERAL,0,0
0,find_process_in_dirent,30,3074457345618258704,RETURN,return -1;,0
0,find_process_in_dirent,31,3074457345618258705,minus,-1,1
0,find_process_in_dirent,32,3074457345618258706,LITERAL,1,0
0,find_process_in_dirent,33,3074457345618258707,assignment,buf[l] = '\0',1
0,find_process_in_dirent,34,3074457345618258708,indirectIndexAccess,buf[l],1
0,find_process_in_dirent,35,3074457345618258709,IDENTIFIER,buf,0
0,find_process_in_dirent,36,3074457345618258710,IDENTIFIER,l,0
0,find_process_in_dirent,37,3074457345618258711,LITERAL,'\0',0
0,find_process_in_dirent,38,3074457345618258712,LOCAL,char* base,0
0,find_process_in_dirent,39,3074457345618258713,assignment,*base = g_path_get_basename(buf),1
0,find_process_in_dirent,40,3074457345618258714,IDENTIFIER,base,0
0,find_process_in_dirent,41,3074457345618258715,g_path_get_basename,g_path_get_basename(buf),0
0,find_process_in_dirent,42,3074457345618258716,IDENTIFIER,buf,0
0,find_process_in_dirent,43,3074457345618258717,LOCAL,int ret,0
0,find_process_in_dirent,44,3074457345618258718,assignment,"ret = strcmp(base, process_name)",1
0,find_process_in_dirent,45,3074457345618258719,IDENTIFIER,ret,0
0,find_process_in_dirent,46,3074457345618258720,strcmp,"strcmp(base, process_name)",0
0,find_process_in_dirent,47,3074457345618258721,IDENTIFIER,base,0
0,find_process_in_dirent,48,3074457345618258722,IDENTIFIER,process_name,0
0,find_process_in_dirent,49,3074457345618258723,g_free,g_free(base),0
0,find_process_in_dirent,50,3074457345618258724,IDENTIFIER,base,0
0,find_process_in_dirent,51,3074457345618258725,CONTROL_STRUCTURE,if (ret == 0),0
0,find_process_in_dirent,52,3074457345618258726,equals,ret == 0,1
0,find_process_in_dirent,53,3074457345618258727,IDENTIFIER,ret,0
0,find_process_in_dirent,54,3074457345618258728,LITERAL,0,0
0,find_process_in_dirent,55,3074457345618258729,RETURN,return atoi(dir->d_name);,0
0,find_process_in_dirent,56,3074457345618258730,atoi,atoi(dir->d_name),0
0,find_process_in_dirent,57,3074457345618258731,indirectFieldAccess,dir->d_name,1
0,find_process_in_dirent,58,3074457345618258732,IDENTIFIER,dir,0
0,find_process_in_dirent,59,3074457345618258733,FIELD_IDENTIFIER,d_name,0
0,find_process_in_dirent,60,3074457345618258734,CONTROL_STRUCTURE,else,0
0,find_process_in_dirent,61,3074457345618258735,RETURN,return -1;,0
0,find_process_in_dirent,62,3074457345618258736,minus,-1,1
0,find_process_in_dirent,63,3074457345618258737,LITERAL,1,0
0,find_process_in_dirent,64,3074457345618258738,METHOD_RETURN,ANY,0
