,function_name,begin,end,type
0,check_locked_file_before_remove,3074457345618258674,3074457345618258675,AST
0,check_locked_file_before_remove,3074457345618258674,3074457345618258676,AST
0,check_locked_file_before_remove,3074457345618258674,3074457345618258677,AST
0,check_locked_file_before_remove,3074457345618258674,3074457345618258680,AST
0,check_locked_file_before_remove,3074457345618258677,3074457345618258678,AST
0,check_locked_file_before_remove,3074457345618258678,3074457345618258679,AST
0,check_locked_file_before_remove,3074457345618258678,3074457345618258680,CFG
0,check_locked_file_before_remove,3074457345618258674,3074457345618258678,CFG
