,function_name,id,number,first,next,type
0,seekAndWrite,0,3074457345618258674,METHOD,"int seekAndWrite (unixFile *id,const void *pBuf,int cnt)",0
0,seekAndWrite,1,3074457345618258675,PARAM,unixFile *id,0
0,seekAndWrite,2,3074457345618258676,PARAM,const void *pBuf,0
0,seekAndWrite,3,3074457345618258677,PARAM,int cnt,0
0,seekAndWrite,4,3074457345618258678,BLOCK,<empty>,0
0,seekAndWrite,5,3074457345618258679,LOCAL,int got,0
0,seekAndWrite,6,3074457345618258680,lseek,"lseek(id->h, id->offset, SEEK_SET)",0
0,seekAndWrite,7,3074457345618258681,indirectFieldAccess,id->h,1
0,seekAndWrite,8,3074457345618258682,IDENTIFIER,id,0
0,seekAndWrite,9,3074457345618258683,FIELD_IDENTIFIER,h,0
0,seekAndWrite,10,3074457345618258684,indirectFieldAccess,id->offset,1
0,seekAndWrite,11,3074457345618258685,IDENTIFIER,id,0
0,seekAndWrite,12,3074457345618258686,FIELD_IDENTIFIER,offset,0
0,seekAndWrite,13,3074457345618258687,IDENTIFIER,SEEK_SET,0
0,seekAndWrite,14,3074457345618258688,assignment,"got = write(id->h, pBuf, cnt)",1
0,seekAndWrite,15,3074457345618258689,IDENTIFIER,got,0
0,seekAndWrite,16,3074457345618258690,write,"write(id->h, pBuf, cnt)",0
0,seekAndWrite,17,3074457345618258691,indirectFieldAccess,id->h,1
0,seekAndWrite,18,3074457345618258692,IDENTIFIER,id,0
0,seekAndWrite,19,3074457345618258693,FIELD_IDENTIFIER,h,0
0,seekAndWrite,20,3074457345618258694,IDENTIFIER,pBuf,0
0,seekAndWrite,21,3074457345618258695,IDENTIFIER,cnt,0
0,seekAndWrite,22,3074457345618258696,CONTROL_STRUCTURE,if (got>0),0
0,seekAndWrite,23,3074457345618258697,greaterThan,got>0,1
0,seekAndWrite,24,3074457345618258698,IDENTIFIER,got,0
0,seekAndWrite,25,3074457345618258699,LITERAL,0,0
0,seekAndWrite,26,3074457345618258700,BLOCK,<empty>,0
0,seekAndWrite,27,3074457345618258701,assignmentPlus,id->offset += got,1
0,seekAndWrite,28,3074457345618258702,indirectFieldAccess,id->offset,1
0,seekAndWrite,29,3074457345618258703,IDENTIFIER,id,0
0,seekAndWrite,30,3074457345618258704,FIELD_IDENTIFIER,offset,0
0,seekAndWrite,31,3074457345618258705,IDENTIFIER,got,0
0,seekAndWrite,32,3074457345618258706,RETURN,return got;,0
0,seekAndWrite,33,3074457345618258707,IDENTIFIER,got,0
0,seekAndWrite,34,3074457345618258708,METHOD_RETURN,int,0
