,function_name,begin,end,type
0,seaf_clone_manager_gen_default_worktree,3074457345618258674,3074457345618258675,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258674,3074457345618258676,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258674,3074457345618258677,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258674,3074457345618258678,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258674,3074457345618258703,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258678,3074457345618258679,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258678,3074457345618258680,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258678,3074457345618258686,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258678,3074457345618258687,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258678,3074457345618258694,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258678,3074457345618258699,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258678,3074457345618258701,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258680,3074457345618258681,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258680,3074457345618258682,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258682,3074457345618258683,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258682,3074457345618258684,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258682,3074457345618258685,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258687,3074457345618258688,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258687,3074457345618258689,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258689,3074457345618258690,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258689,3074457345618258691,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258689,3074457345618258692,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258689,3074457345618258693,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258694,3074457345618258695,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258694,3074457345618258697,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258695,3074457345618258696,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258697,3074457345618258698,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258699,3074457345618258700,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258701,3074457345618258702,AST
0,seaf_clone_manager_gen_default_worktree,3074457345618258680,3074457345618258689,CFG
0,seaf_clone_manager_gen_default_worktree,3074457345618258687,3074457345618258695,CFG
0,seaf_clone_manager_gen_default_worktree,3074457345618258699,3074457345618258701,CFG
0,seaf_clone_manager_gen_default_worktree,3074457345618258701,3074457345618258703,CFG
0,seaf_clone_manager_gen_default_worktree,3074457345618258682,3074457345618258680,CFG
0,seaf_clone_manager_gen_default_worktree,3074457345618258689,3074457345618258687,CFG
0,seaf_clone_manager_gen_default_worktree,3074457345618258695,3074457345618258697,CFG
0,seaf_clone_manager_gen_default_worktree,3074457345618258695,3074457345618258699,CFG
0,seaf_clone_manager_gen_default_worktree,3074457345618258697,3074457345618258703,CFG
0,seaf_clone_manager_gen_default_worktree,3074457345618258674,3074457345618258682,CFG
0,seaf_clone_manager_gen_default_worktree,3074457345618258695,3074457345618258701,CDG
0,seaf_clone_manager_gen_default_worktree,3074457345618258695,3074457345618258699,CDG
0,seaf_clone_manager_gen_default_worktree,3074457345618258695,3074457345618258697,CDG
