,function_name,id,number,first,next,type
0,onUserDump,0,3074457345618258674,METHOD,"void onUserDump (struct KSCrash_MonitorContext* monitorContext,const char* dumpFilePath)",0
0,onUserDump,1,3074457345618258675,PARAM,struct KSCrash_MonitorContext* monitorContext,0
0,onUserDump,2,3074457345618258676,PARAM,const char* dumpFilePath,0
0,onUserDump,3,3074457345618258677,BLOCK,<empty>,0
0,onUserDump,4,3074457345618258678,KSLOG_DEBUG,"KSLOG_DEBUG(""UserDump"")",0
0,onUserDump,5,3074457345618258679,LITERAL,"""UserDump""",0
0,onUserDump,6,3074457345618258680,assignment,monitorContext->consoleLogPath = g_shouldAddConsoleLogToReport ? g_consoleLogPath : NULL,1
0,onUserDump,7,3074457345618258681,indirectFieldAccess,monitorContext->consoleLogPath,1
0,onUserDump,8,3074457345618258682,IDENTIFIER,monitorContext,0
0,onUserDump,9,3074457345618258683,FIELD_IDENTIFIER,consoleLogPath,0
0,onUserDump,10,3074457345618258684,conditional,g_shouldAddConsoleLogToReport ? g_consoleLogPath : NULL,1
0,onUserDump,11,3074457345618258685,IDENTIFIER,g_shouldAddConsoleLogToReport,0
0,onUserDump,12,3074457345618258686,IDENTIFIER,g_consoleLogPath,0
0,onUserDump,13,3074457345618258687,IDENTIFIER,NULL,0
0,onUserDump,14,3074457345618258688,CONTROL_STRUCTURE,if (g_customShortVersion != NULL && g_customFullVersion != NULL),0
0,onUserDump,15,3074457345618258689,logicalAnd,g_customShortVersion != NULL && g_customFullVersion != NULL,1
0,onUserDump,16,3074457345618258690,notEquals,g_customShortVersion != NULL,1
0,onUserDump,17,3074457345618258691,IDENTIFIER,g_customShortVersion,0
0,onUserDump,18,3074457345618258692,IDENTIFIER,NULL,0
0,onUserDump,19,3074457345618258693,notEquals,g_customFullVersion != NULL,1
0,onUserDump,20,3074457345618258694,IDENTIFIER,g_customFullVersion,0
0,onUserDump,21,3074457345618258695,IDENTIFIER,NULL,0
0,onUserDump,22,3074457345618258696,BLOCK,<empty>,0
0,onUserDump,23,3074457345618258697,assignment,monitorContext->UserDefinedVersion.bundleShortVersion = g_customShortVersion,1
0,onUserDump,24,3074457345618258698,fieldAccess,monitorContext->UserDefinedVersion.bundleShortVersion,1
0,onUserDump,25,3074457345618258699,indirectFieldAccess,monitorContext->UserDefinedVersion,1
0,onUserDump,26,3074457345618258700,IDENTIFIER,monitorContext,0
0,onUserDump,27,3074457345618258701,FIELD_IDENTIFIER,UserDefinedVersion,0
0,onUserDump,28,3074457345618258702,FIELD_IDENTIFIER,bundleShortVersion,0
0,onUserDump,29,3074457345618258703,IDENTIFIER,g_customShortVersion,0
0,onUserDump,30,3074457345618258704,assignment,monitorContext->UserDefinedVersion.bundleVersion = g_customFullVersion,1
0,onUserDump,31,3074457345618258705,fieldAccess,monitorContext->UserDefinedVersion.bundleVersion,1
