,function_name,id,number,first,next,type
0,isTaggedPointerNSDate,0,3074457345618258674,METHOD,bool isTaggedPointerNSDate (const void* const object),0
0,isTaggedPointerNSDate,1,3074457345618258675,PARAM,const void* const object,0
0,isTaggedPointerNSDate,2,3074457345618258676,BLOCK,<empty>,0
0,isTaggedPointerNSDate,3,3074457345618258677,RETURN,return getTaggedSlot(object) == OBJC_TAG_NSDate;,0
0,isTaggedPointerNSDate,4,3074457345618258678,equals,getTaggedSlot(object) == OBJC_TAG_NSDate,1
0,isTaggedPointerNSDate,5,3074457345618258679,getTaggedSlot,getTaggedSlot(object),0
0,isTaggedPointerNSDate,6,3074457345618258680,IDENTIFIER,object,0
0,isTaggedPointerNSDate,7,3074457345618258681,IDENTIFIER,OBJC_TAG_NSDate,0
0,isTaggedPointerNSDate,8,3074457345618258682,METHOD_RETURN,bool,0
