,function_name,id,number,first,next,type
0,writen,0,3074457345618258674,METHOD,"ANY writen (int fd,const void *vptr,size_t n)",0
0,writen,1,3074457345618258675,PARAM,int fd,0
0,writen,2,3074457345618258676,PARAM,const void *vptr,0
0,writen,3,3074457345618258677,PARAM,size_t n,0
0,writen,4,3074457345618258678,BLOCK,<empty>,0
0,writen,5,3074457345618258679,LOCAL,size_t nleft,0
0,writen,6,3074457345618258680,LOCAL,ssize_t nwritten,0
0,writen,7,3074457345618258681,LOCAL,const char* ptr,0
0,writen,8,3074457345618258682,assignment,ptr = vptr,1
0,writen,9,3074457345618258683,IDENTIFIER,ptr,0
0,writen,10,3074457345618258684,IDENTIFIER,vptr,0
0,writen,11,3074457345618258685,assignment,nleft = n,1
0,writen,12,3074457345618258686,IDENTIFIER,nleft,0
0,writen,13,3074457345618258687,IDENTIFIER,n,0
0,writen,14,3074457345618258688,CONTROL_STRUCTURE,while (nleft > 0),0
0,writen,15,3074457345618258689,greaterThan,nleft > 0,1
0,writen,16,3074457345618258690,IDENTIFIER,nleft,0
0,writen,17,3074457345618258691,LITERAL,0,0
0,writen,18,3074457345618258692,BLOCK,<empty>,0
0,writen,19,3074457345618258693,CONTROL_STRUCTURE,"if ((nwritten = write(fd, ptr, nleft)) <= 0)",0
0,writen,20,3074457345618258694,lessEqualsThan,"(nwritten = write(fd, ptr, nleft)) <= 0",1
0,writen,21,3074457345618258695,assignment,"nwritten = write(fd, ptr, nleft)",1
0,writen,22,3074457345618258696,IDENTIFIER,nwritten,0
0,writen,23,3074457345618258697,write,"write(fd, ptr, nleft)",0
0,writen,24,3074457345618258698,IDENTIFIER,fd,0
0,writen,25,3074457345618258699,IDENTIFIER,ptr,0
0,writen,26,3074457345618258700,IDENTIFIER,nleft,0
0,writen,27,3074457345618258701,LITERAL,0,0
0,writen,28,3074457345618258702,BLOCK,<empty>,0
0,writen,29,3074457345618258703,CONTROL_STRUCTURE,if (nwritten < 0 && errno == EINTR),0
0,writen,30,3074457345618258704,logicalAnd,nwritten < 0 && errno == EINTR,1
0,writen,31,3074457345618258705,lessThan,nwritten < 0,1
0,writen,32,3074457345618258706,IDENTIFIER,nwritten,0
0,writen,33,3074457345618258707,LITERAL,0,0
0,writen,34,3074457345618258708,equals,errno == EINTR,1
0,writen,35,3074457345618258709,IDENTIFIER,errno,0
0,writen,36,3074457345618258710,IDENTIFIER,EINTR,0
0,writen,37,3074457345618258711,assignment,nwritten = 0,1
0,writen,38,3074457345618258712,IDENTIFIER,nwritten,0
0,writen,39,3074457345618258713,LITERAL,0,0
0,writen,40,3074457345618258714,CONTROL_STRUCTURE,else,0
0,writen,41,3074457345618258715,RETURN,return(-1);,0
0,writen,42,3074457345618258716,minus,-1,1
0,writen,43,3074457345618258717,LITERAL,1,0
0,writen,44,3074457345618258718,assignmentMinus,nleft -= nwritten,1
0,writen,45,3074457345618258719,IDENTIFIER,nleft,0
0,writen,46,3074457345618258720,IDENTIFIER,nwritten,0
0,writen,47,3074457345618258721,assignmentPlus,ptr   += nwritten,1
0,writen,48,3074457345618258722,IDENTIFIER,ptr,0
0,writen,49,3074457345618258723,IDENTIFIER,nwritten,0
0,writen,50,3074457345618258724,RETURN,return(n);,0
0,writen,51,3074457345618258725,IDENTIFIER,n,0
0,writen,52,3074457345618258726,METHOD_RETURN,ANY,0
