,function_name,id,number,first,next,type
0,recvn,0,3074457345618258674,METHOD,"ANY recvn (evutil_socket_t fd,void *vptr,size_t n)",0
0,recvn,1,3074457345618258675,PARAM,evutil_socket_t fd,0
0,recvn,2,3074457345618258676,PARAM,void *vptr,0
0,recvn,3,3074457345618258677,PARAM,size_t n,0
0,recvn,4,3074457345618258678,BLOCK,<empty>,0
0,recvn,5,3074457345618258679,LOCAL,size_t nleft,0
0,recvn,6,3074457345618258680,LOCAL,ssize_t nread,0
0,recvn,7,3074457345618258681,LOCAL,char* ptr,0
0,recvn,8,3074457345618258682,assignment,ptr = vptr,1
0,recvn,9,3074457345618258683,IDENTIFIER,ptr,0
0,recvn,10,3074457345618258684,IDENTIFIER,vptr,0
0,recvn,11,3074457345618258685,assignment,nleft = n,1
0,recvn,12,3074457345618258686,IDENTIFIER,nleft,0
0,recvn,13,3074457345618258687,IDENTIFIER,n,0
0,recvn,14,3074457345618258688,CONTROL_STRUCTURE,while (nleft > 0),0
0,recvn,15,3074457345618258689,greaterThan,nleft > 0,1
0,recvn,16,3074457345618258690,IDENTIFIER,nleft,0
0,recvn,17,3074457345618258691,LITERAL,0,0
0,recvn,18,3074457345618258692,BLOCK,<empty>,0
0,recvn,19,3074457345618258693,CONTROL_STRUCTURE,"if ((nread = read(fd, ptr, nleft)) < 0)",0
0,recvn,20,3074457345618258694,lessThan,"(nread = read(fd, ptr, nleft)) < 0",1
0,recvn,21,3074457345618258695,assignment,"nread = read(fd, ptr, nleft)",1
0,recvn,22,3074457345618258696,IDENTIFIER,nread,0
0,recvn,23,3074457345618258697,read,"read(fd, ptr, nleft)",0
0,recvn,24,3074457345618258698,IDENTIFIER,fd,0
0,recvn,25,3074457345618258699,IDENTIFIER,ptr,0
0,recvn,26,3074457345618258700,IDENTIFIER,nleft,0
0,recvn,27,3074457345618258701,LITERAL,0,0
0,recvn,28,3074457345618258702,BLOCK,<empty>,0
0,recvn,29,3074457345618258703,CONTROL_STRUCTURE,if (errno == EINTR),0
0,recvn,30,3074457345618258704,equals,errno == EINTR,1
0,recvn,31,3074457345618258705,IDENTIFIER,errno,0
0,recvn,32,3074457345618258706,IDENTIFIER,EINTR,0
0,recvn,33,3074457345618258707,assignment,nread = 0,1
0,recvn,34,3074457345618258708,IDENTIFIER,nread,0
0,recvn,35,3074457345618258709,LITERAL,0,0
0,recvn,36,3074457345618258710,CONTROL_STRUCTURE,else,0
0,recvn,37,3074457345618258711,RETURN,return(-1);,0
0,recvn,38,3074457345618258712,minus,-1,1
0,recvn,39,3074457345618258713,LITERAL,1,0
0,recvn,40,3074457345618258714,CONTROL_STRUCTURE,else,0
0,recvn,41,3074457345618258715,CONTROL_STRUCTURE,if (nread == 0),0
0,recvn,42,3074457345618258716,equals,nread == 0,1
0,recvn,43,3074457345618258717,IDENTIFIER,nread,0
0,recvn,44,3074457345618258718,LITERAL,0,0
0,recvn,45,3074457345618258719,CONTROL_STRUCTURE,break;,0
0,recvn,46,3074457345618258720,assignmentMinus,nleft -= nread,1
0,recvn,47,3074457345618258721,IDENTIFIER,nleft,0
0,recvn,48,3074457345618258722,IDENTIFIER,nread,0
0,recvn,49,3074457345618258723,assignmentPlus,ptr   += nread,1
0,recvn,50,3074457345618258724,IDENTIFIER,ptr,0
0,recvn,51,3074457345618258725,IDENTIFIER,nread,0
0,recvn,52,3074457345618258726,RETURN,return(n - nleft);,0
0,recvn,53,3074457345618258727,subtraction,n - nleft,1
0,recvn,54,3074457345618258728,IDENTIFIER,n,0
0,recvn,55,3074457345618258729,IDENTIFIER,nleft,0
0,recvn,56,3074457345618258730,METHOD_RETURN,ANY,0
