,function_name,id,number,first,next,type
0,seaf_clone_manager_gen_default_worktree,0,3074457345618258674,METHOD,"ANY seaf_clone_manager_gen_default_worktree (SeafCloneManager *mgr,const char *worktree_parent,const char *repo_name)",0
0,seaf_clone_manager_gen_default_worktree,1,3074457345618258675,PARAM,SeafCloneManager *mgr,0
0,seaf_clone_manager_gen_default_worktree,2,3074457345618258676,PARAM,const char *worktree_parent,0
0,seaf_clone_manager_gen_default_worktree,3,3074457345618258677,PARAM,const char *repo_name,0
0,seaf_clone_manager_gen_default_worktree,4,3074457345618258678,BLOCK,<empty>,0
0,seaf_clone_manager_gen_default_worktree,5,3074457345618258679,LOCAL,char* wt,0
0,seaf_clone_manager_gen_default_worktree,6,3074457345618258680,assignment,"*wt = g_build_filename (worktree_parent, repo_name, NULL)",1
0,seaf_clone_manager_gen_default_worktree,7,3074457345618258681,IDENTIFIER,wt,0
0,seaf_clone_manager_gen_default_worktree,8,3074457345618258682,g_build_filename,"g_build_filename (worktree_parent, repo_name, NULL)",0
0,seaf_clone_manager_gen_default_worktree,9,3074457345618258683,IDENTIFIER,worktree_parent,0
0,seaf_clone_manager_gen_default_worktree,10,3074457345618258684,IDENTIFIER,repo_name,0
0,seaf_clone_manager_gen_default_worktree,11,3074457345618258685,IDENTIFIER,NULL,0
0,seaf_clone_manager_gen_default_worktree,12,3074457345618258686,LOCAL,char* worktree,0
0,seaf_clone_manager_gen_default_worktree,13,3074457345618258687,assignment,"worktree = make_worktree (mgr, wt, TRUE, NULL)",1
0,seaf_clone_manager_gen_default_worktree,14,3074457345618258688,IDENTIFIER,worktree,0
0,seaf_clone_manager_gen_default_worktree,15,3074457345618258689,make_worktree,"make_worktree (mgr, wt, TRUE, NULL)",0
0,seaf_clone_manager_gen_default_worktree,16,3074457345618258690,IDENTIFIER,mgr,0
0,seaf_clone_manager_gen_default_worktree,17,3074457345618258691,IDENTIFIER,wt,0
0,seaf_clone_manager_gen_default_worktree,18,3074457345618258692,IDENTIFIER,TRUE,0
0,seaf_clone_manager_gen_default_worktree,19,3074457345618258693,IDENTIFIER,NULL,0
0,seaf_clone_manager_gen_default_worktree,20,3074457345618258694,CONTROL_STRUCTURE,if (!worktree),0
0,seaf_clone_manager_gen_default_worktree,21,3074457345618258695,logicalNot,!worktree,1
0,seaf_clone_manager_gen_default_worktree,22,3074457345618258696,IDENTIFIER,worktree,0
0,seaf_clone_manager_gen_default_worktree,23,3074457345618258697,RETURN,return wt;,0
0,seaf_clone_manager_gen_default_worktree,24,3074457345618258698,IDENTIFIER,wt,0
0,seaf_clone_manager_gen_default_worktree,25,3074457345618258699,g_free,g_free (wt),0
0,seaf_clone_manager_gen_default_worktree,26,3074457345618258700,IDENTIFIER,wt,0
0,seaf_clone_manager_gen_default_worktree,27,3074457345618258701,RETURN,return worktree;,0
0,seaf_clone_manager_gen_default_worktree,28,3074457345618258702,IDENTIFIER,worktree,0
0,seaf_clone_manager_gen_default_worktree,29,3074457345618258703,METHOD_RETURN,ANY,0
