,function_name,id,number,first,next,type
0,sendn,0,3074457345618258674,METHOD,"ANY sendn (evutil_socket_t fd,const void *vptr,size_t n)",0
0,sendn,1,3074457345618258675,PARAM,evutil_socket_t fd,0
0,sendn,2,3074457345618258676,PARAM,const void *vptr,0
0,sendn,3,3074457345618258677,PARAM,size_t n,0
0,sendn,4,3074457345618258678,BLOCK,<empty>,0
0,sendn,5,3074457345618258679,LOCAL,size_t nleft,0
0,sendn,6,3074457345618258680,LOCAL,ssize_t nwritten,0
0,sendn,7,3074457345618258681,LOCAL,const char* ptr,0
0,sendn,8,3074457345618258682,assignment,ptr = vptr,1
0,sendn,9,3074457345618258683,IDENTIFIER,ptr,0
0,sendn,10,3074457345618258684,IDENTIFIER,vptr,0
0,sendn,11,3074457345618258685,assignment,nleft = n,1
0,sendn,12,3074457345618258686,IDENTIFIER,nleft,0
0,sendn,13,3074457345618258687,IDENTIFIER,n,0
0,sendn,14,3074457345618258688,CONTROL_STRUCTURE,while (nleft > 0),0
0,sendn,15,3074457345618258689,greaterThan,nleft > 0,1
0,sendn,16,3074457345618258690,IDENTIFIER,nleft,0
0,sendn,17,3074457345618258691,LITERAL,0,0
0,sendn,18,3074457345618258692,BLOCK,<empty>,0
0,sendn,19,3074457345618258693,CONTROL_STRUCTURE,"if ((nwritten = write(fd, ptr, nleft)) <= 0)",0
0,sendn,20,3074457345618258694,lessEqualsThan,"(nwritten = write(fd, ptr, nleft)) <= 0",1
0,sendn,21,3074457345618258695,assignment,"nwritten = write(fd, ptr, nleft)",1
0,sendn,22,3074457345618258696,IDENTIFIER,nwritten,0
0,sendn,23,3074457345618258697,write,"write(fd, ptr, nleft)",0
0,sendn,24,3074457345618258698,IDENTIFIER,fd,0
0,sendn,25,3074457345618258699,IDENTIFIER,ptr,0
0,sendn,26,3074457345618258700,IDENTIFIER,nleft,0
0,sendn,27,3074457345618258701,LITERAL,0,0
0,sendn,28,3074457345618258702,BLOCK,<empty>,0
0,sendn,29,3074457345618258703,CONTROL_STRUCTURE,if (nwritten < 0 && errno == EINTR),0
0,sendn,30,3074457345618258704,logicalAnd,nwritten < 0 && errno == EINTR,1
0,sendn,31,3074457345618258705,lessThan,nwritten < 0,1
0,sendn,32,3074457345618258706,IDENTIFIER,nwritten,0
0,sendn,33,3074457345618258707,LITERAL,0,0
0,sendn,34,3074457345618258708,equals,errno == EINTR,1
0,sendn,35,3074457345618258709,IDENTIFIER,errno,0
0,sendn,36,3074457345618258710,IDENTIFIER,EINTR,0
0,sendn,37,3074457345618258711,assignment,nwritten = 0,1
0,sendn,38,3074457345618258712,IDENTIFIER,nwritten,0
0,sendn,39,3074457345618258713,LITERAL,0,0
0,sendn,40,3074457345618258714,CONTROL_STRUCTURE,else,0
0,sendn,41,3074457345618258715,RETURN,return(-1);,0
0,sendn,42,3074457345618258716,minus,-1,1
0,sendn,43,3074457345618258717,LITERAL,1,0
0,sendn,44,3074457345618258718,assignmentMinus,nleft -= nwritten,1
0,sendn,45,3074457345618258719,IDENTIFIER,nleft,0
0,sendn,46,3074457345618258720,IDENTIFIER,nwritten,0
0,sendn,47,3074457345618258721,assignmentPlus,ptr   += nwritten,1
0,sendn,48,3074457345618258722,IDENTIFIER,ptr,0
0,sendn,49,3074457345618258723,IDENTIFIER,nwritten,0
0,sendn,50,3074457345618258724,RETURN,return(n);,0
0,sendn,51,3074457345618258725,IDENTIFIER,n,0
0,sendn,52,3074457345618258726,METHOD_RETURN,ANY,0
