,function_name,id,number,first,next,type
0,unixOpenDirectory,0,3074457345618258674,METHOD,"int unixOpenDirectory (OsFile *id,const char *zDirname)",0
0,unixOpenDirectory,1,3074457345618258675,PARAM,OsFile *id,0
0,unixOpenDirectory,2,3074457345618258676,PARAM,const char *zDirname,0
0,unixOpenDirectory,3,3074457345618258677,BLOCK,<empty>,0
0,unixOpenDirectory,4,3074457345618258678,LOCAL,unixFile pFile,0
0,unixOpenDirectory,5,3074457345618258679,assignment,*pFile = (unixFile*)id,1
0,unixOpenDirectory,6,3074457345618258680,IDENTIFIER,pFile,0
0,unixOpenDirectory,7,3074457345618258681,cast,(unixFile*)id,1
0,unixOpenDirectory,8,3074457345618258682,UNKNOWN,unixFile*,0
0,unixOpenDirectory,9,3074457345618258683,IDENTIFIER,id,0
0,unixOpenDirectory,10,3074457345618258684,CONTROL_STRUCTURE,if (pFile==0),0
0,unixOpenDirectory,11,3074457345618258685,equals,pFile==0,1
0,unixOpenDirectory,12,3074457345618258686,IDENTIFIER,pFile,0
0,unixOpenDirectory,13,3074457345618258687,LITERAL,0,0
0,unixOpenDirectory,14,3074457345618258688,BLOCK,<empty>,0
0,unixOpenDirectory,15,3074457345618258689,RETURN,return SQLITE_CANTOPEN;,0
0,unixOpenDirectory,16,3074457345618258690,IDENTIFIER,SQLITE_CANTOPEN,0
0,unixOpenDirectory,17,3074457345618258691,SET_THREADID,SET_THREADID(pFile),0
0,unixOpenDirectory,18,3074457345618258692,IDENTIFIER,pFile,0
0,unixOpenDirectory,19,3074457345618258693,assert,assert( pFile->dirfd<0 ),0
0,unixOpenDirectory,20,3074457345618258694,lessThan,pFile->dirfd<0,1
0,unixOpenDirectory,21,3074457345618258695,indirectFieldAccess,pFile->dirfd,1
0,unixOpenDirectory,22,3074457345618258696,IDENTIFIER,pFile,0
0,unixOpenDirectory,23,3074457345618258697,FIELD_IDENTIFIER,dirfd,0
0,unixOpenDirectory,24,3074457345618258698,LITERAL,0,0
0,unixOpenDirectory,25,3074457345618258699,assignment,"pFile->dirfd = open(zDirname, O_RDONLY|O_BINARY, 0)",1
0,unixOpenDirectory,26,3074457345618258700,indirectFieldAccess,pFile->dirfd,1
0,unixOpenDirectory,27,3074457345618258701,IDENTIFIER,pFile,0
0,unixOpenDirectory,28,3074457345618258702,FIELD_IDENTIFIER,dirfd,0
0,unixOpenDirectory,29,3074457345618258703,open,"open(zDirname, O_RDONLY|O_BINARY, 0)",0
0,unixOpenDirectory,30,3074457345618258704,IDENTIFIER,zDirname,0
0,unixOpenDirectory,31,3074457345618258705,or,O_RDONLY|O_BINARY,1
0,unixOpenDirectory,32,3074457345618258706,IDENTIFIER,O_RDONLY,0
0,unixOpenDirectory,33,3074457345618258707,IDENTIFIER,O_BINARY,0
0,unixOpenDirectory,34,3074457345618258708,LITERAL,0,0
0,unixOpenDirectory,35,3074457345618258709,CONTROL_STRUCTURE,if (pFile->dirfd<0),0
0,unixOpenDirectory,36,3074457345618258710,lessThan,pFile->dirfd<0,1
0,unixOpenDirectory,37,3074457345618258711,indirectFieldAccess,pFile->dirfd,1
0,unixOpenDirectory,38,3074457345618258712,IDENTIFIER,pFile,0
0,unixOpenDirectory,39,3074457345618258713,FIELD_IDENTIFIER,dirfd,0
0,unixOpenDirectory,40,3074457345618258714,LITERAL,0,0
0,unixOpenDirectory,41,3074457345618258715,BLOCK,<empty>,0
0,unixOpenDirectory,42,3074457345618258716,RETURN,return SQLITE_CANTOPEN;,0
0,unixOpenDirectory,43,3074457345618258717,IDENTIFIER,SQLITE_CANTOPEN,0
0,unixOpenDirectory,44,3074457345618258718,TRACE3,"TRACE3(""OPENDIR %-3d %s\n"", pFile->dirfd, zDirname)",0
0,unixOpenDirectory,45,3074457345618258719,LITERAL,"""OPENDIR %-3d %s\n""",0
0,unixOpenDirectory,46,3074457345618258720,indirectFieldAccess,pFile->dirfd,1
0,unixOpenDirectory,47,3074457345618258721,IDENTIFIER,pFile,0
0,unixOpenDirectory,48,3074457345618258722,FIELD_IDENTIFIER,dirfd,0
0,unixOpenDirectory,49,3074457345618258723,IDENTIFIER,zDirname,0
0,unixOpenDirectory,50,3074457345618258724,RETURN,return SQLITE_OK;,0
0,unixOpenDirectory,51,3074457345618258725,IDENTIFIER,SQLITE_OK,0
0,unixOpenDirectory,52,3074457345618258726,METHOD_RETURN,int,0
