,function_name,begin,end,type
0,sqlite3ExprIsConstant,3074457345618258674,3074457345618258675,AST
0,sqlite3ExprIsConstant,3074457345618258674,3074457345618258676,AST
0,sqlite3ExprIsConstant,3074457345618258674,3074457345618258688,AST
0,sqlite3ExprIsConstant,3074457345618258676,3074457345618258677,AST
0,sqlite3ExprIsConstant,3074457345618258676,3074457345618258678,AST
0,sqlite3ExprIsConstant,3074457345618258676,3074457345618258681,AST
0,sqlite3ExprIsConstant,3074457345618258676,3074457345618258686,AST
0,sqlite3ExprIsConstant,3074457345618258678,3074457345618258679,AST
0,sqlite3ExprIsConstant,3074457345618258678,3074457345618258680,AST
0,sqlite3ExprIsConstant,3074457345618258681,3074457345618258682,AST
0,sqlite3ExprIsConstant,3074457345618258681,3074457345618258683,AST
0,sqlite3ExprIsConstant,3074457345618258681,3074457345618258684,AST
0,sqlite3ExprIsConstant,3074457345618258684,3074457345618258685,AST
0,sqlite3ExprIsConstant,3074457345618258686,3074457345618258687,AST
0,sqlite3ExprIsConstant,3074457345618258678,3074457345618258684,CFG
0,sqlite3ExprIsConstant,3074457345618258681,3074457345618258686,CFG
0,sqlite3ExprIsConstant,3074457345618258686,3074457345618258688,CFG
0,sqlite3ExprIsConstant,3074457345618258684,3074457345618258681,CFG
0,sqlite3ExprIsConstant,3074457345618258674,3074457345618258678,CFG
